"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,1705.76,1439.08,1214.1,1024.3,864.162,729.063,615.085,518.926,437.799,369.356,311.613,262.897,221.797,187.122,157.868,133.188,112.366,94.7992,79.9787,67.4752,56.9265,48.0269,40.5186,34.1841,28.8399,24.3312,20.5274,17.3182,14.6108,12.3266,10.3995,8.77372,7.40208,6.24487,5.26858,4.44491,3.75002,3.16376,2.66915,2.25187,12.1522
1893,1705.75,1439.09,1214.1,1024.28,864.142,729.044,615.066,518.905,437.778,369.336,311.595,262.881,221.784,187.111,157.859,133.18,112.36,94.7939,79.9743,67.4715,56.9234,48.0243,40.5164,34.1823,28.8384,24.3299,20.5263,17.3173,14.61,12.326,10.399,8.77325,7.40168,6.24454,5.2683,4.44468,3.74982,3.16359,2.66901,2.25175,12.1516
1894,1705.74,1439.08,1214.11,1024.28,864.13,729.028,615.05,518.889,437.761,369.319,311.578,262.866,221.771,187.1,157.85,133.173,112.353,94.7885,79.9698,67.4678,56.9203,48.0216,40.5142,34.1804,28.8368,24.3286,20.5252,17.3164,14.6092,12.3253,10.3984,8.77279,7.40129,6.24421,5.26802,4.44444,3.74962,3.16342,2.66887,2.25163,12.151
1895,1705.74,1439.08,1214.1,1024.29,864.13,729.018,615.036,518.876,437.748,369.304,311.563,262.852,221.758,187.089,157.841,133.165,112.347,94.7831,79.9653,67.464,56.9171,48.019,40.512,34.1786,28.8353,24.3273,20.5241,17.3155,14.6085,12.3246,10.3979,8.77232,7.4009,6.24388,5.26774,4.44421,3.74942,3.16326,2.66873,2.25151,12.1503
1896,1705.74,1439.07,1214.1,1024.29,864.151,729.032,615.042,518.879,437.752,369.307,311.565,262.851,221.756,187.087,157.838,133.163,112.345,94.7816,79.9641,67.463,56.9163,48.0183,40.5114,34.1781,28.8349,24.327,20.5238,17.3153,14.6083,12.3245,10.3977,8.77221,7.40081,6.2438,5.26768,4.44415,3.74938,3.16322,2.66869,2.25148,12.1502
1897,1705.74,1439.07,1214.09,1024.29,864.159,729.052,615.057,518.888,437.758,369.314,311.57,262.855,221.757,187.087,157.838,133.162,112.344,94.781,79.9636,67.4626,56.9159,48.0181,40.5112,34.1779,28.8347,24.3269,20.5237,17.3152,14.6082,12.3244,10.3977,8.77217,7.40077,6.24377,5.26765,4.44413,3.74936,3.1632,2.66868,2.25147,12.1501
1898,1705.74,1439.07,1214.09,1024.29,864.157,729.059,615.074,518.9,437.766,369.32,311.576,262.86,221.76,187.088,157.838,133.162,112.344,94.7804,79.9631,67.4622,56.9156,48.0178,40.511,34.1777,28.8346,24.3268,20.5236,17.3151,14.6081,12.3244,10.3976,8.77213,7.40074,6.24375,5.26763,4.44411,3.74934,3.16319,2.66867,2.25146,12.1501
1899,1705.74,1439.07,1214.09,1024.29,864.153,729.058,615.081,518.916,437.777,369.327,311.581,262.865,221.765,187.091,157.839,133.162,112.343,94.7801,79.9627,67.4619,56.9153,48.0176,40.5108,34.1776,28.8345,24.3267,20.5236,17.315,14.6081,12.3243,10.3976,8.77211,7.40072,6.24373,5.26762,4.4441,3.74934,3.16318,2.66867,2.25146,12.15
1900,1705.74,1439.07,1214.09,1024.29,864.152,729.054,615.079,518.92,437.789,369.335,311.586,262.869,221.769,187.094,157.841,133.163,112.344,94.7798,79.9623,67.4614,56.915,48.0173,40.5106,34.1774,28.8343,24.3265,20.5235,17.3149,14.608,12.3243,10.3976,8.77207,7.40069,6.2437,5.26759,4.44409,3.74932,3.16317,2.66865,2.25145,12.15
1901,1705.74,1439.07,1214.09,1024.29,864.152,729.053,615.076,518.919,437.793,369.346,311.594,262.873,221.772,187.098,157.844,133.165,112.344,94.7799,79.9621,67.4611,56.9146,48.0169,40.5103,34.1772,28.8341,24.3264,20.5234,17.3149,14.608,12.3242,10.3975,8.77203,7.40066,6.24368,5.26757,4.44407,3.7493,3.16316,2.66864,2.25144,12.1499
1902,1705.74,1439.07,1214.09,1024.29,864.152,729.052,615.074,518.915,437.791,369.348,311.602,262.879,221.775,187.1,157.847,133.167,112.346,94.7803,79.9619,67.4607,56.9142,48.0165,40.5099,34.1769,28.8339,24.3262,20.5232,17.3147,14.6078,12.3241,10.3974,8.77197,7.40061,6.24363,5.26754,4.44404,3.74928,3.16313,2.66863,2.25143,12.1499
1903,1705.74,1439.07,1214.1,1024.29,864.152,729.052,615.074,518.914,437.788,369.347,311.604,262.886,221.78,187.103,157.849,133.169,112.347,94.7813,79.9623,67.4606,56.9139,48.0162,40.5096,34.1766,28.8337,24.326,20.523,17.3146,14.6077,12.324,10.3974,8.77191,7.40055,6.24359,5.2675,4.44401,3.74925,3.16311,2.66861,2.25141,12.1498
1904,1705.74,1439.08,1214.1,1024.29,864.152,729.052,615.072,518.913,437.786,369.343,311.602,262.887,221.785,187.106,157.851,133.17,112.349,94.7826,79.963,67.4608,56.9137,48.0158,40.5092,34.1762,28.8333,24.3257,20.5228,17.3144,14.6076,12.3239,10.3973,8.77183,7.40049,6.24353,5.26745,4.44397,3.74922,3.16309,2.66859,2.25139,12.1497
1905,1705.74,1439.08,1214.1,1024.29,864.151,729.051,615.071,518.911,437.784,369.341,311.598,262.884,221.786,187.11,157.853,133.171,112.35,94.7838,79.9639,67.4612,56.9136,48.0155,40.5088,34.1758,28.833,24.3254,20.5225,17.3142,14.6074,12.3238,10.3972,8.77172,7.4004,6.24346,5.2674,4.44392,3.74918,3.16305,2.66856,2.25137,12.1495
1906,1705.74,1439.08,1214.1,1024.29,864.151,729.05,615.071,518.91,437.783,369.339,311.596,262.882,221.784,187.111,157.857,133.174,112.351,94.7845,79.9649,67.462,56.914,48.0155,40.5086,34.1755,28.8326,24.3251,20.5223,17.314,14.6072,12.3236,10.397,8.77162,7.40032,6.24339,5.26734,4.44387,3.74914,3.16302,2.66853,2.25134,12.1494
1907,1705.74,1439.08,1214.1,1024.29,864.151,729.05,615.069,518.908,437.781,369.337,311.594,262.879,221.781,187.109,157.857,133.176,112.352,94.7852,79.9653,67.4627,56.9146,48.0157,40.5085,34.1752,28.8323,24.3248,20.522,17.3137,14.607,12.3234,10.3969,8.77149,7.40021,6.24331,5.26726,4.44381,3.74909,3.16298,2.66849,2.25131,12.1493
1908,1705.74,1439.08,1214.1,1024.29,864.151,729.049,615.069,518.908,437.78,369.336,311.593,262.877,221.779,187.106,157.855,133.176,112.355,94.7866,79.9659,67.463,56.9151,48.0162,40.5087,34.1751,28.8321,24.3245,20.5217,17.3135,14.6068,12.3233,10.3967,8.77137,7.40011,6.24322,5.26719,4.44375,3.74904,3.16293,2.66846,2.25129,12.1491
1909,1705.74,1439.08,1214.1,1024.29,864.15,729.048,615.068,518.906,437.778,369.334,311.591,262.875,221.777,187.104,157.852,133.174,112.354,94.7881,79.9669,67.4633,56.9153,48.0166,40.509,34.1752,28.8319,24.3242,20.5214,17.3132,14.6065,12.323,10.3965,8.77122,7.39998,6.24312,5.26711,4.44368,3.74898,3.16289,2.66842,2.25125,12.1489
1910,1705.74,1439.07,1214.1,1024.29,864.149,729.047,615.066,518.905,437.776,369.332,311.588,262.873,221.775,187.102,157.85,133.172,112.352,94.7877,79.968,67.464,56.9155,48.0166,40.5092,34.1754,28.8319,24.3241,20.5212,17.3129,14.6063,12.3228,10.3963,8.77105,7.39984,6.243,5.26701,4.4436,3.74891,3.16283,2.66837,2.25121,12.1487
1911,1705.74,1439.07,1214.1,1024.29,864.148,729.046,615.065,518.903,437.775,369.33,311.586,262.871,221.773,187.1,157.848,133.17,112.35,94.7861,79.9676,67.465,56.916,48.0167,40.5092,34.1756,28.8321,24.3241,20.521,17.3127,14.606,12.3226,10.3961,8.77088,7.3997,6.24288,5.26691,4.44352,3.74884,3.16277,2.66832,2.25117,12.1485
1912,1705.74,1439.07,1214.1,1024.29,864.147,729.045,615.064,518.902,437.773,369.328,311.584,262.869,221.77,187.098,157.846,133.168,112.349,94.7842,79.9661,67.4645,56.9167,48.0171,40.5092,34.1755,28.8322,24.3241,20.521,17.3125,14.6058,12.3224,10.3959,8.77069,7.39954,6.24275,5.2668,4.44342,3.74877,3.16271,2.66827,2.25113,12.1483
1913,1705.74,1439.07,1214.1,1024.28,864.146,729.043,615.062,518.899,437.771,369.326,311.582,262.867,221.768,187.096,157.844,133.166,112.347,94.7825,79.9643,67.4631,56.9162,48.0176,40.5095,34.1755,28.8321,24.3242,20.521,17.3125,14.6057,12.3222,10.3957,8.7705,7.39937,6.2426,5.26667,4.44332,3.74868,3.16264,2.66821,2.25108,12.148
1914,1705.74,1439.07,1214.09,1024.28,864.145,729.042,615.06,518.898,437.769,369.324,311.58,262.865,221.766,187.094,157.842,133.165,112.345,94.781,79.9629,67.4616,56.915,48.0171,40.5099,34.1757,28.832,24.3241,20.521,17.3125,14.6056,12.322,10.3955,8.77032,7.3992,6.24245,5.26655,4.44321,3.74859,3.16256,2.66815,2.25103,12.1477
1915,1705.73,1439.07,1214.09,1024.28,864.143,729.04,615.058,518.896,437.767,369.321,311.578,262.862,221.764,187.091,157.84,133.163,112.343,94.7793,79.9614,67.4603,56.9136,48.0161,40.5094,34.176,28.8321,24.324,20.5209,17.3125,14.6056,12.3219,10.3954,8.77015,7.39903,6.2423,5.26642,4.4431,3.7485,3.16248,2.66808,2.25097,12.1475
1916,1705.73,1439.07,1214.09,1024.28,864.142,729.039,615.057,518.894,437.765,369.32,311.576,262.86,221.762,187.09,157.838,133.161,112.342,94.7779,79.96,67.459,56.9125,48.0149,40.5085,34.1756,28.8324,24.3241,20.5208,17.3124,14.6056,12.3219,10.3953,8.77004,7.3989,6.24216,5.26629,4.44299,3.7484,3.1624,2.66801,2.25091,12.1472
1917,1705.73,1439.07,1214.09,1024.28,864.141,729.037,615.055,518.892,437.763,369.317,311.573,262.858,221.76,187.088,157.837,133.159,112.34,94.7763,79.9586,67.4577,56.9113,48.0138,40.5074,34.1747,28.832,24.3242,20.5209,17.3123,14.6055,12.3219,10.3953,8.76996,7.39878,6.24203,5.26616,4.44287,3.7483,3.16231,2.66794,2.25085,12.1468
